ingredient_name	occurrence_count	mean_concentration	min_concentration	max_concentration	std_concentration	common_unit	is_documented	priority_score	category
Trace element solution (see Medium No.748)	2	10.0	10.0	10.0	0.0	ml	False	2.0	supplement_solution
Trace mineral solution (see Medium No.197)	2	9.5	9.0	10.0	0.7071067811865476	ml	False	2.0	supplement_solution
Malt extract powder	2	5.0	5.0	5.0	0.0	g	False	2.0	extract
Vitamin solution* (see Medium No.197)	1	1.0	1.0	1.0		ml	False	1.0	supplement_solution
Vitamin solution* (see Medium No.1157)	1	1.0	1.0	1.0		ml	False	1.0	supplement_solution
Vitamin solution (see Medium No.979)	1	10.0	10.0	10.0		ml	False	1.0	supplement_solution
Vitamin solution (see Medium No.602)	1	0.2	0.2	0.2		ml	False	1.0	supplement_solution
soy peptone	1	3.0	3.0	3.0		g/L	False	1.0	peptone_digest
Trace element solution SL12	1	1.0	1.0	1.0		mg	False	1.0	supplement_solution
Vitamin solution* (see Medium No.944)	1	10.0	10.0	10.0		ml	False	1.0	supplement_solution
Vitamin solution (see Medium No.221)	1	0.5	0.5	0.5		ml	False	1.0	supplement_solution
Vitamin solution* (see Medium No.923)	1	0.05	0.05	0.05		ml	False	1.0	supplement_solution
Trace element solution SL7 (see Medium No.516)	1	1.0	1.0	1.0		ml	False	1.0	supplement_solution
Yeast extract	1	0.002	0.002	0.002		g	False	1.0	other_complex
Trace element solution(see Medium No.187)	1	1.0	1.0	1.0		ml	False	1.0	supplement_solution
Tryptic digest of beef heart	1	1.0	1.0	1.0		g	False	1.0	hydrolysate
Trace elements solution (see Medium No.1182)	1	1.0	1.0	1.0		ml	False	1.0	supplement_solution
Tryptic Digest of beef heart	1	1.0	1.0	1.0		g	False	1.0	hydrolysate
Vitamin solution (see Medium No.197)	1	10.0	10.0	10.0		ml	False	1.0	supplement_solution
5% defibrinated sheep blood	1	50.0	50.0	50.0		ml	False	1.0	blood_product
Trace element solution (see Medium No.741)	1	10.0	10.0	10.0		ml	False	1.0	supplement_solution
Trace element solution (see Medium No.483)	1	1.0	1.0	1.0		ml	False	1.0	supplement_solution
LB broth powder	1	25.0	25.0	25.0		g	False	1.0	complex_medium
G Yeast Extract	1	2.0	2.0	2.0		g	False	1.0	extract
G Bacto Peptone	1	5.0	5.0	5.0		g	False	1.0	peptone_digest
Fish meat extract	1	5.0	5.0	5.0		g	False	1.0	extract
Fastidious Anaerobe Basal Broth (OXOID)	1	35.4	35.4	35.4		g	False	1.0	complex_medium
Dung extract	1	100.0	100.0	100.0		ml	False	1.0	other_complex
Difco marine broth (Difco2216)	1	37.4	37.4	37.4		g	False	1.0	complex_medium
Difco marine broth (Difco 2216)	1	37.4	37.4	37.4		g	False	1.0	complex_medium
Difco Marine Broth 2216	1	37.4	37.4	37.4		g	False	1.0	complex_medium
Corn meal agar	1	17.0	17.0	17.0		g	False	1.0	solidifying_agent
Calf serum	1	200.0	200.0	200.0		ml	False	1.0	blood_product
Bovine serum albumin	1	1.0	1.0	1.0		g	False	1.0	blood_product
Bacto-peptone	1	3.0	3.0	3.0		g	False	1.0	peptone_digest
Bacto-Peptone	1	0.5	0.5	0.5		g	False	1.0	peptone_digest
Bacto Tryptic Soy Broth without Dextrose	1	27.5	27.5	27.5		g	False	1.0	complex_medium
Lab-Lemco beef extract	1	1.0	1.0	1.0		g	False	1.0	extract
Maize extract	1	5.0	5.0	5.0		g	False	1.0	other_complex
Malt extract broth	1	1.5	1.5	1.5		g	False	1.0	extract
Phytone peptone	1	3.0	3.0	3.0		g	False	1.0	peptone_digest
