medium_id	original	mapped	value	concentration	unit	mmol_l	optional	source	base_compound	base_formula	water_molecules	hydrate_formula	base_chebi_id	base_chebi_label	base_chebi_formula	base_molecular_weight	water_molecular_weight	hydrated_molecular_weight	hydration_confidence	hydration_parsing_method	corrected_mmol_l	base_compound_for_mapping	hydration_state
dsmz_1699	Pyridoxine hydrochloride	CHEBI:30961						json	Pyridoxine hydrochloride	Pyridoxinehydrochloride	0	Pyridoxinehydrochloride	CHEBI:30961	pyridoxine hydrochloride	C8H12ClNO3	100.0	0.0	100.0	high	no_hydration		Pyridoxine hydrochloride	anhydrous
dsmz_1699	Thiamine HCl	CHEBI:49105						json	Thiamine HCl	ThiamineHCl	0	ThiamineHCl	CHEBI:49105	thiamine hydrochloride	C12H18Cl2N4OS	100.0	0.0	100.0	high	no_hydration		Thiamine HCl	anhydrous
dsmz_1699	Nicotinic acid	CHEBI:15940						json	Nicotinic acid	Nicotinicacid	0	Nicotinicacid	CHEBI:15940	nicotinic acid	C6H5NO2	100.0	0.0	100.0	high	no_hydration		Nicotinic acid	anhydrous
dsmz_1699	p-Aminobenzoic acid	CHEBI:30753						json	p-Aminobenzoic acid	p-Aminobenzoicacid	0	p-Aminobenzoicacid	CHEBI:30753	4-aminobenzoic acid	C7H7NO2	100.0	0.0	100.0	high	no_hydration		p-Aminobenzoic acid	anhydrous
dsmz_1699	(DL)-alpha-Lipoic acid	CHEBI:43796						json	(DL)-alpha-Lipoic acid	(DL)-alpha-Lipoicacid	0	(DL)-alpha-Lipoicacid	CHEBI:43796	alpha-lipoic acid	C8H14O2S2	100.0	0.0	100.0	high	no_hydration		(DL)-alpha-Lipoic acid	anhydrous
dsmz_104b	Trypticase peptone		5.0		g/L			json	Trypticase peptone	Trypticasepeptone	0	Trypticasepeptone				100.0	0.0	100.0	high	no_hydration	50.0	Trypticase peptone	anhydrous
dsmz_104b	Meat peptone		5.0		g/L			json	Meat peptone	Meatpeptone	0	Meatpeptone				100.0	0.0	100.0	high	no_hydration	50.0	Meat peptone	anhydrous
dsmz_104b	Yeast extract	CAS-RN:8013-01-2	10.0		g/L			json	Yeast extract	Yeastextract	0	Yeastextract				100.0	0.0	100.0	high	no_hydration	100.0	Yeast extract	anhydrous
dsmz_104b	Salt solution	solution:6218	40.0		ml/L			json	Salt solution	Saltsolution	0	Saltsolution				100.0	0.0	100.0	high	no_hydration	400.0	Salt solution	anhydrous
dsmz_104b	Sodium resazurin	CAS-RN:62758-13-8	0.5		ml/L			json	Sodium resazurin	Sodiumresazurin	0	Sodiumresazurin				100.0	0.0	100.0	high	no_hydration	5.0	Sodium resazurin	anhydrous
