medium_id	original	mapped	chebi_label	chebi_formula	value	concentration	unit	mmol_l	optional	source	normalized_compound	hydration_number	chebi_match	chebi_id	chebi_original_name	similarity_score	match_confidence	matching_method	mapping_status	mapping_quality	base_compound	base_formula	water_molecules	hydrate_formula	base_chebi_id	base_chebi_label	base_chebi_formula	hydration_state	hydration_parsing_method	hydration_confidence	base_compound_for_mapping	base_molecular_weight	water_molecular_weight	hydrated_molecular_weight	corrected_mmol_l	hydrated_chebi_id	hydrated_chebi_label	hydrate_mapping_source
atcc_D3547D63F887423DAFB39841A5B588B9_composition	EDTA	CHEBI:64755	EDTA(2-)	C10H14N2O8	0.5		mg			json		0							original_only	good	EDTA	EDTA		EDTA					no_hydration	high		100.0	0.0	100.0	5.0			
atcc_D3547D63F887423DAFB39841A5B588B9_composition	MgCl2 x 6H2O	CHEBI:6636	magnesium dichloride	2Cl.Mg	2.0		g			json		6							original_only	good	MgCl2	MgCl2		MgCl2.6H2O					hydrate_pattern	high		95.21	108.09	203.3	9.837678	CHEBI:86345	magnesium dichloride hexahydrate	label_match
atcc_D3547D63F887423DAFB39841A5B588B9_composition	Vitamin B12	CHEBI:176843	vitamin B12		10.0		mcg			json		0							original_only	good	Vitamin B12	VitaminB12		VitaminB12					no_hydration	high		100.0	0.0	100.0	100.0			
ccap_2ASW_composition	Biotin	CHEBI:15956	biotin	C10H16N2O3S	1.0		g			json		0							original_only	good	Biotin	Biotin		Biotin					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_2ASW_composition	Calcium pantothenate	CHEBI:31345	Calcium pantothenate	2C9H16NO5.Ca	1.0		g			json		0							original_only	good	Calcium pantothenate	Calciumpantothenate		Calciumpantothenate					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_2ASW_composition	Cyanocobalamin	CHEBI:17439	cyanocob(III)alamin	C63H88CoN14O14P	1.0		g			json		0							original_only	good	Cyanocobalamin	Cyanocobalamin		Cyanocobalamin					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_2ASW_composition	Folic acid	CHEBI:27470	folic acid	C19H19N7O6	1.0		g			json		0							original_only	good	Folic acid	Folicacid		Folicacid					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_2ASW_composition	K2HPO4	CHEBI:131527	dipotassium hydrogen phosphate	HO4P.2K	1.0		g			json		0							original_only	good	K2HPO4	K2HPO4		K2HPO4					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_2ASW_composition	Na2HPO4	CHEBI:34683	disodium hydrogenphosphate	HO4P.2Na	1.0		g			json		0							original_only	good	Na2HPO4	Na2HPO4		Na2HPO4					no_hydration	high		141.96	0.0	141.96	7.044238			
ccap_2ASW_composition	NaCl	CHEBI:26710	sodium chloride	Cl.Na	1.0		g			json		0							original_only	good	NaCl	NaCl		NaCl	CHEBI:26710				no_hydration	high		58.44	0.0	58.44	17.111567			
ccap_2ASW_composition	NaNO3	CHEBI:63005			1.0		g			json		0							original_only	good	NaNO3	NaNO3		NaNO3					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_2ASW_composition	Nicotinic acid	CHEBI:15940	nicotinic acid	C6H5NO2	1.0		g			json		0							original_only	good	Nicotinic acid	Nicotinicacid		Nicotinicacid					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_2ASW_composition	Thiamine HCl	CHEBI:49105	thiamine hydrochloride	C12H17N4OS.Cl.HCl	1.0		g			json		0							original_only	good	Thiamine HCl	ThiamineHCl		ThiamineHCl					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ANT_composition	Biotin	CHEBI:15956	biotin	C10H16N2O3S	1.0		g			json		0							original_only	good	Biotin	Biotin		Biotin					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ANT_composition	CuSO4.5H2O	CHEBI:31440	copper(II) sulfate pentahydrate	Cu.5H2O.O4S	1.0		g			json		5							original_only	good	CuSO4	CuSO4		CuSO4.5H2O	CHEBI:23414				hydrate_pattern	very_high		159.61	90.075	249.685	4.005046			no_match
