original_name	mapped_id	chebi_label	chebi_formula
Na3‐citrate x 2H2O	CAS-RN:6132-04-3		
NaBr	CHEBI:63004	sodium bromide	Br.Na
NaCl	CHEBI:26710	sodium chloride	Cl.Na
Nacl	CHEBI:26710	sodium chloride	Cl.Na
NaCL	CHEBI:26710	sodium chloride	Cl.Na
NaClO3	CAS-RN:7775-09-9		
NaCO3	CAS-RN:497-19-8		
NaEDTA	CHEBI:64734	EDTA disodium salt (anhydrous)	C10H14N2O8.2Na
NaF	CHEBI:28741	sodium fluoride	F.Na
NaH2PO4	CHEBI:37585	sodium dihydrogenphosphate	H2O4P.Na
NaH2PO4 x 2 H2O	CHEBI:37585	sodium dihydrogenphosphate	H2O4P.Na
NaH2PO4 x 2H2O	CHEBI:37585	sodium dihydrogenphosphate	H2O4P.Na
NaH2PO4 x H2O	PUBCHEM.COMPOUND:23672064		
NaH2PO4.2H2O	CHEBI:4496	calcium hydrogenphosphate dihydrate	Ca.2H2O.HO4P
NaH2PO4·2H2O	CHEBI:37585	sodium dihydrogenphosphate	H2O4P.Na
NaHCO3	CHEBI:32139	sodium hydrogencarbonate	CHO3.Na
NaHSeO3	CAS-RN:7782-82-3		
NaMoO4 x 2 H2O	CAS-RN:10102-40-6		
NaNH4HPO4 x 4 H2O	CAS-RN:7783-13-3		
NaNO2	CHEBI:78870	sodium nitrite	NO2.Na
NaNO3	CAS-RN:7631-99-4		
NaOH	CHEBI:32145	sodium hydroxide	HO.Na
NaS2O3	CAS-RN:7772-98-7		
NaS2O3 x 5 H2O	CAS-RN:10102-17-7		
NaSO4	CHEBI:32149	sodium sulfate	2Na.O4S
Natetrathionate	CAS-RN:13721-29-4		
Natural seawater	ingredient:2152		
NaVO3	CHEBI:75221	sodium metavanadate	Na.O3V
NaVO3 x H2O	PUBCHEM.COMPOUND:4148882.0		
NaVO3 x n H2O	PUBCHEM.COMPOUND:4148882.0		
NaWO4·2H2O	CHEBI:63939	sodium tungstate dihydrate	2H2O.2Na.O4W
NCL/0.01% NPA	medium:C66		
NdCl3 x 6 H2O	PUBCHEM.COMPOUND:66204.0		
NH4-oxalate	PUBCHEM.COMPOUND:14213.0		
NH42CO3	PUBCHEM.COMPOUND:517111		
NH42HPO4	PUBCHEM.COMPOUND:24540		
NH42MoO4	PUBCHEM.COMPOUND:61578.0		
NH42SO4	PUBCHEM.COMPOUND:6097028		
NH4Cl	CHEBI:31206	ammonium chloride	Cl.H4N
NH4CL	CHEBI:31206	ammonium chloride	Cl.H4N
NH4Cl2	CHEBI:31206	ammonium chloride	Cl.H4N
NH4H2PO4	CAS-RN:7722-76-1		
NH4HCO3	CAS-RN:1066-33-7		
NH4NO3	CAS-RN:6484-52-2		
Niacin	CHEBI:15940	nicotinic acid	C6H5NO2
NiCl 2 x 6 H2O	CHEBI:34887	nickel dichloride	Cl2Ni
NiCl2	CHEBI:34887	nickel dichloride	Cl2Ni
NiCl2 x 2 H2O	CHEBI:34887	nickel dichloride	Cl2Ni
NiCl2 x 2H2O	CHEBI:34887	nickel dichloride	Cl2Ni
NiCl2 x 5 H2O	CHEBI:34887	nickel dichloride	Cl2Ni
NiCl2 x 6 H20	PubChem:129831233		
NiCl2 x 6 H2O	CHEBI:34887	nickel dichloride	Cl2Ni
NiCl2 x 6 H2O (0.1% w/v)	CHEBI:34887	nickel dichloride	Cl2Ni
NiCl2 x H2O	PUBCHEM.COMPOUND:24385		
NiCl2·6H2O	CHEBI:34887	nickel dichloride	Cl2Ni
Nicotinamide	CHEBI:17154	nicotinamide	C6H6N2O
